State/Union Territory/District,Census Year,Persons,Absolute change since previous census,Percentage change since previous census,Males,Females,SexRatioCol,Growth Rate
Gurdaspur,1901,702372,,,378985,323387,853.30,0
Kapurthala,1901,,,,,,,0
Kapurthala,1911,,,,,,,0
Kapurthala,1921,,,,,,,0
Kapurthala,1931,,,,,,,0
Kapurthala,1941,,,,,,,0
Kapurthala,1951,295071,,,156921,138150,880.38,0
Jalandhar,1901,721579,,,390550,331029,847.60,0
Hoshiarpur,1901,650662,,,346426,304236,878.21,0
Shahid Bhagat Singh Nagar,1901,269801,,,145365,124436,856.02,0
Fatehgarh Sahib,1901,,,,,,,0
Fatehgarh Sahib,1911,,,,,,,0
Fatehgarh Sahib,1921,,,,,,,0
Fatehgarh Sahib,1931,,,,,,,0
Fatehgarh Sahib,1941,,,,,,,0
Fatehgarh Sahib,1951,191919,,,108220,83699,773.42,0
Ludhiana,1901,685038,,,374454,310584,829.43,0
Moga,1901,,,,,,,0
Moga,1911,,,,,,,0
Moga,1921,,,,,,,0
Moga,1931,,,,,,,0
Moga,1941,,,,,,,0
Moga,1951,379181,,,203121,176060,866.77,0
Firozpur,1901,433179,,,237195,195984,826.26,0
Muktsar,1901,,,,,,,0
Muktsar,1911,,,,,,,0
Muktsar,1921,,,,,,,0
Muktsar,1931,,,,,,,0
Muktsar,1941,,,,,,,0
Muktsar,1951,266498,,,143135,123363,861.86,0
Faridkot,1901,,,,,,,0
Faridkot,1911,,,,,,,0
Faridkot,1921,,,,,,,0
Faridkot,1931,,,,,,,0
Faridkot,1941,,,,,,,0
Faridkot,1951,182145,,,98135,84010,856.07,0
Bathinda,1901,,,,,,,0
Bathinda,1911,,,,,,,0
Bathinda,1921,,,,,,,0
Bathinda,1931,,,,,,,0
Bathinda,1941,,,,,,,0
Bathinda,1951,377757,,,205420,172337,838.95,0
Mansa,1901,,,,,,,0
Mansa,1911,,,,,,,0
Mansa,1921,,,,,,,0
Mansa,1931,,,,,,,0
Mansa,1941,,,,,,,0
Mansa,1951,241932,,,132617,109315,824.29,0
Patiala,1901,,,,,,,0
Patiala,1911,,,,,,,0
Patiala,1921,,,,,,,0
Patiala,1931,,,,,,,0
Patiala,1941,,,,,,,0
Patiala,1951,482517,,,267786,214731,801.88,0
Amritsar,1901,764821,,,418177,346644,828.94,0
Tarn Taran,1901,422024,,,230747,191277,828.95,0
Rupnagar,1901,220055,,,121789,98266,806.85,0
Sahibzada Ajit Singh Nagar,1901,106038,,,58686,47352,806.87,0
Sangrur,1901,,,,,,,0
Sangrur,1911,,,,,,,0
Sangrur,1921,,,,,,,0
Sangrur,1931,,,,,,,0
Sangrur,1941,,,,,,,0
Sangrur,1951,565152,,,310491,254661,820.19,0
Barnala,1901,,,,,,,0
Barnala,1911,,,,,,,0
Barnala,1921,,,,,,,0
Barnala,1931,,,,,,,0
Barnala,1941,,,,,,,0
Barnala,1951,188189,,,103555,84634,817.29,0
Gurdaspur,1911,622008,-80364,-11.44180007,350693,271315,773.65,-11.44180007
Gurdaspur,1921,634394,12386,1.991292716,353615,280779,794.02,1.991292716
Gurdaspur,1931,718523,84129,13.2613171,397193,321330,809.00,13.2613171
Gurdaspur,1941,854968,136445,18.9896496,463969,390999,842.73,18.9896496
Gurdaspur,1951,851140,-3828,-0.447736056,461017,390123,846.22,-0.447736056
Gurdaspur,1961,980868,129728,15.24167587,524739,456129,869.25,15.24167587
Gurdaspur,1971,1229464,248596,25.3444908,650393,579071,890.34,25.3444908
Gurdaspur,1981,1513435,283971,23.09713827,793484,719951,907.33,23.09713827
Gurdaspur,1991,1756732,243297,16.07581429,923343,833389,902.58,16.07581429
Gurdaspur,2001,2103455,346723,19.73681814,1112785,990670,890.26,19.73681814
Gurdaspur,2011,2298323,194868,9.264186778,1212617,1085706,895.34,9.264186778
Kapurthala,1961,343778,48707,16.50687462,182299,161479,885.79,16.50687462
Kapurthala,1971,429514,85736,24.93935039,227331,202183,889.38,24.93935039
Kapurthala,1981,545249,115735,26.94557104,287286,257963,897.93,26.94557104
Kapurthala,1991,646647,101398,18.59664117,341030,305617,896.16,18.59664117
Kapurthala,2001,754521,107874,16.68205373,399623,354898,888.08,16.68205373
Kapurthala,2011,815168,60647,8.03781472,426311,388857,912.14,8.03781472
Jalandhar,1911,630769,-90810,-12.58490061,353813,276956,782.78,-12.58490061
Jalandhar,1921,647086,16317,2.58684241,358037,289049,807.32,2.58684241
Jalandhar,1931,742659,95573,14.7697524,403439,339220,840.82,14.7697524
Jalandhar,1941,887080,144421,19.44647543,477098,409982,859.32,19.44647543
Jalandhar,1951,829858,-57222,-6.450601975,446829,383029,857.22,-6.450601975
Jalandhar,1961,981801,151943,18.30951801,525811,455990,867.21,18.30951801
Jalandhar,1971,1175196,193395,19.6979836,624020,551176,883.27,19.6979836
Jalandhar,1981,1406587,231391,19.68956668,744164,662423,890.16,19.68956668
Jalandhar,1991,1649937,243350,17.30074286,869627,780310,897.29,17.30074286
Jalandhar,2001,1962761,312824,18.95975422,1040212,922549,886.89,18.95975422
Jalandhar,2011,2193590,230829,11.7604232,1145211,1048379,915.45,11.7604232
Hoshiarpur,1911,603685,-46977,-7.219877602,330191,273494,828.29,-7.219877602
Hoshiarpur,1921,609650,5965,0.988098098,328443,281207,856.18,0.988098098
Hoshiarpur,1931,678526,68876,11.29762979,363520,315006,866.54,11.29762979
Hoshiarpur,1941,769884,91358,13.4641856,409695,360189,879.16,13.4641856
Hoshiarpur,1951,712440,-57444,-7.461383793,379499,332941,877.32,-7.461383793
Hoshiarpur,1961,782483,70043,9.831424401,411474,371009,901.66,9.831424401
Hoshiarpur,1971,948505,166022,21.21732996,499397,449108,899.30,21.21732996
Hoshiarpur,1981,1116326,167821,17.69321195,581859,534467,918.55,17.69321195
Hoshiarpur,1991,1299261,182935,16.38723814,675184,624077,924.31,16.38723814
Hoshiarpur,2001,1481292,182031,14.01034896,765424,715868,935.26,14.01034896
Hoshiarpur,2011,1586625,105333,7.110886982,809057,777568,961.08,7.110886982
Shahid Bhagat Singh Nagar,1911,239880,-29921,-11.09002561,133580,106300,795.78,-11.09002561
Shahid Bhagat Singh Nagar,1921,244966,5086,2.12022678,134516,110450,821.09,2.12022678
Shahid Bhagat Singh Nagar,1931,278703,33737,13.77211531,150814,127889,847.99,13.77211531
Shahid Bhagat Singh Nagar,1941,328209,49506,17.76299502,176015,152194,864.66,17.76299502
Shahid Bhagat Singh Nagar,1951,306122,-22087,-6.729553425,163148,142974,876.35,-6.729553425
Shahid Bhagat Singh Nagar,1961,332944,26822,8.761866184,175257,157687,899.75,8.761866184
Shahid Bhagat Singh Nagar,1971,382523,49579,14.8910928,202712,179811,887.03,14.8910928
Shahid Bhagat Singh Nagar,1981,456434,73911,19.32197541,240434,216000,898.38,19.32197541
Shahid Bhagat Singh Nagar,1991,531253,74819,16.39207421,279658,251595,899.65,16.39207421
Shahid Bhagat Singh Nagar,2001,587468,56215,10.5815873,306902,280566,914.19,10.5815873
Shahid Bhagat Singh Nagar,2011,612310,24842,4.228655859,313291,299019,954.44,4.228655859
Fatehgarh Sahib,1961,246234,54315,28.30100199,135642,110592,815.32,28.30100199
Fatehgarh Sahib,1971,305407,59173,24.03120609,166762,138645,831.39,24.03120609
Fatehgarh Sahib,1981,389139,83732,27.41652942,211331,177808,841.37,27.41652942
Fatehgarh Sahib,1991,455312,66173,17.00497766,243369,211943,870.87,17.00497766
Fatehgarh Sahib,2001,538470,83158,18.26395966,290370,248100,854.43,18.26395966
Fatehgarh Sahib,2011,600163,61693,11.45709139,320795,279368,870.86,11.45709139
Ludhiana,1911,527575,-157463,-22.98602413,298827,228748,765.49,-22.98602413
Ludhiana,1921,579161,51586,9.777946264,324581,254580,784.33,9.777946264
Ludhiana,1931,687387,108226,18.68668643,383816,303571,790.93,18.68668643
Ludhiana,1941,839622,152235,22.14691287,458351,381271,831.83,22.14691287
Ludhiana,1951,858487,18865,2.246844413,463478,395009,852.27,2.246844413
Ludhiana,1961,1078269,219782,25.60108656,580859,497410,856.34,25.60108656
Ludhiana,1971,1384957,306688,28.44262424,749520,635437,847.79,28.44262424
Ludhiana,1981,1778689,393732,28.42918589,956423,822266,859.73,28.42918589
Ludhiana,1991,2428382,649693,36.52650913,1316748,1111634,844.23,36.52650913
Ludhiana,2001,3032831,604449,24.89101797,1662716,1370115,824.02,24.89101797
Ludhiana,2011,3498739,465908,15.36214843,1867816,1630923,873.17,15.36214843
Moga,1961,443135,63954,16.86635143,237937,205198,862.40,16.86635143
Moga,1971,536623,93488,21.09695691,287611,249012,865.79,21.09695691
Moga,1981,655873,119250,22.22230504,348603,307270,881.43,22.22230504
Moga,1991,777894,122021,18.60436395,412850,365044,884.20,18.60436395
Moga,2001,894793,116899,15.02762587,474104,420689,887.33,15.02762587
Moga,2011,995746,100953,11.28227422,525920,469826,893.34,11.28227422
Firozpur,1911,448647,15468,3.570810219,252326,196321,778.05,3.570810219
Firozpur,1921,552515,103868,23.15138628,306542,245973,802.41,23.15138628
Firozpur,1931,575990,23475,4.248753428,317455,258535,814.40,4.248753428
Firozpur,1941,710895,134905,23.42141357,392662,318233,810.45,23.42141357
Firozpur,1951,625055,-85840,-12.07491964,340610,284445,835.10,-12.07491964
Firozpur,1961,786775,161720,25.87292318,427559,359216,840.16,25.87292318
Firozpur,1971,936623,149848,19.04585174,499246,437377,876.08,19.04585174
Firozpur,1981,1168465,231842,24.75296891,620315,548150,883.66,24.75296891
Firozpur,1991,1448903,280438,24.00054773,764488,684415,895.26,24.00054773
Firozpur,2001,1746107,297204,20.51234624,926224,819883,885.19,20.51234624
Firozpur,2011,2029074,282967,16.20559336,1071637,957437,893.43,16.20559336
Muktsar,1961,382776,116278,43.63184714,207348,175428,846.06,43.63184714
Muktsar,1971,430991,48215,12.59613978,231402,199589,862.52,12.59613978
Muktsar,1981,547394,116403,27.00822059,290428,256966,884.78,27.00822059
Muktsar,1991,654434,107040,19.55447082,348146,306288,879.77,19.55447082
Muktsar,2001,777493,123059,18.80388244,411217,366276,890.71,18.80388244
Muktsar,2011,901896,124403,16.00052991,475622,426274,896.25,16.00052991
Faridkot,1961,244718,62573,34.35339976,132344,112374,849.11,34.35339976
Faridkot,1971,293475,48757,19.92374897,157258,136217,866.20,19.92374897
Faridkot,1981,370556,77081,26.26492887,197196,173360,879.13,26.26492887
Faridkot,1991,455005,84449,22.78980775,241690,213315,882.60,22.78980775
Faridkot,2001,550892,95887,21.07383435,292596,258296,882.77,21.07383435
Faridkot,2011,617508,66616,12.09238834,326671,290837,890.31,12.09238834
Bathinda,1961,509031,131274,34.7509113,277505,231526,834.31,34.7509113
Bathinda,1971,623172,114141,22.4231923,336729,286443,850.66,22.4231923
Bathinda,1981,817764,194592,31.22604995,439350,378414,861.30,31.22604995
Bathinda,1991,985301,167537,20.48720658,522961,462340,884.08,20.48720658
Bathinda,2001,1183295,197994,20.09477307,632809,550486,869.91,20.09477307
Bathinda,2011,1388525,205230,17.34394213,743197,645328,868.31,17.34394213
Mansa,1961,319389,77457,32.01602103,174541,144848,829.88,32.01602103
Mansa,1971,402099,82710,25.89632079,217069,185030,852.40,25.89632079
Mansa,1981,486842,84743,21.07515811,260465,226377,869.13,21.07515811
Mansa,1991,574662,87820,18.0387066,306888,267774,872.55,18.0387066
Mansa,2001,688758,114096,19.85445357,366446,322312,879.56,19.85445357
Mansa,2011,769751,80993,11.75928265,408732,361019,883.27,11.75928265
Patiala,1961,673730,191213,39.62824108,368447,305283,828.57,39.62824108
Patiala,1971,855029,181299,26.90974129,462239,392790,849.76,26.90974129
Patiala,1981,1112368,257339,30.09710782,594533,517835,870.99,30.09710782
Patiala,1991,1343517,231149,20.77990377,713261,630256,883.63,20.77990377
Patiala,2001,1584780,241263,17.95756957,845230,739550,874.97,17.95756957
Patiala,2011,1895686,310906,19.61824354,1002522,893164,890.92,19.61824354
Amritsar,1911,657936,-106885,-13.97516543,369392,288544,781.13,-13.97516543
Amritsar,1921,694261,36325,5.52105372,386653,307608,795.57,5.52105372
Amritsar,1931,834497,140236,20.19931985,462835,371662,803.01,20.19931985
Amritsar,1941,1044457,209960,25.16006648,567191,477266,841.46,25.16006648
Amritsar,1951,880667,-163790,-15.68183276,482124,398543,826.64,-15.68183276
Amritsar,1961,1010093,129426,14.69636083,548489,461604,841.59,14.69636083
Amritsar,1971,1209374,199281,19.72897545,652684,556690,852.92,19.72897545
Amritsar,1981,1460497,251123,20.76470968,781156,679341,869.66,20.76470968
Amritsar,1991,1698090,237593,16.26795536,904280,793810,877.84,16.26795536
Amritsar,2001,2157020,458930,27.02624714,1152821,1004199,871.08,27.02624714
Amritsar,2011,2490656,333636,15.46745046,1318408,1172248,889.14,15.46745046
Tarn Taran,1911,363045,-58979,-13.97527155,203828,159217,781.13,-13.97527155
Tarn Taran,1921,383090,20045,5.521354102,213354,169736,795.56,5.521354102
Tarn Taran,1931,460470,77380,20.19890887,255390,205080,803.01,20.19890887
Tarn Taran,1941,576325,115855,25.16016244,312972,263353,841.46,25.16016244
Tarn Taran,1951,485947,-90378,-15.68177678,260063,225884,868.57,-15.68177678
Tarn Taran,1961,524117,38170,7.854766055,278957,245160,878.85,7.854766055
Tarn Taran,1971,626166,102049,19.47065255,336262,289904,862.14,19.47065255
Tarn Taran,1981,728142,101976,16.28577725,388807,339335,872.76,16.28577725
Tarn Taran,1991,806944,78802,10.8223396,433475,373469,861.57,10.8223396
Tarn Taran,2001,939057,132113,16.3720159,497768,441289,886.54,16.3720159
Tarn Taran,2011,1119627,180570,19.2288647,589369,530258,899.70,19.2288647
Rupnagar,1911,190585,-29470,-13.39210652,108507,82079,756.44,-13.39210652
Rupnagar,1921,189159,-1426,-0.748222578,106229,82930,780.67,-0.748222578
Rupnagar,1931,207804,18645,9.856787147,116125,91679,789.49,9.856787147
Rupnagar,1941,236725,28921,13.91744144,131387,105338,801.74,13.91744144
Rupnagar,1951,251804,15079,6.36983842,139121,112683,809.96,6.36983842
Rupnagar,1961,319389,67585,26.84032025,175871,143518,816.04,26.84032025
Rupnagar,1971,357783,38394,12.02107775,191057,166726,872.65,12.02107775
Rupnagar,1981,439165,81382,22.74618973,233407,205758,881.54,22.74618973
Rupnagar,1991,535970,96805,22.04296791,284088,251882,886.63,22.04296791
Rupnagar,2001,628846,92876,17.32858182,332949,295897,888.72,17.32858182
Rupnagar,2011,684627,55781,8.870375259,357485,327142,915.12,8.870375259
Sahibzada Ajit Singh Nagar,1911,91837,-14201,-13.39236877,52286,39551,756.44,-13.39236877
Sahibzada Ajit Singh Nagar,1921,91150,-687,-0.748064506,51189,39961,780.66,-0.748064506
Sahibzada Ajit Singh Nagar,1931,100135,8985,9.857377948,55957,44178,789.50,9.857377948
Sahibzada Ajit Singh Nagar,1941,114071,13936,13.91721176,63312,50759,801.73,13.91721176
Sahibzada Ajit Singh Nagar,1951,188619,74548,65.3522806,102916,85703,832.75,65.3522806
Sahibzada Ajit Singh Nagar,1961,236753,48134,25.51916827,129984,106769,821.40,25.51916827
Sahibzada Ajit Singh Nagar,1971,295199,58446,24.68648761,161214,133985,831.10,24.68648761
Sahibzada Ajit Singh Nagar,1981,407161,111962,37.92763526,221314,185847,839.74,37.92763526
Sahibzada Ajit Singh Nagar,1991,548276,141115,34.65828014,295678,252598,854.30,34.65828014
Sahibzada Ajit Singh Nagar,2001,746987,198711,36.24287767,405560,341427,841.87,36.24287767
Sahibzada Ajit Singh Nagar,2011,994628,247641,33.15198256,529253,465375,879.31,33.15198256
Sangrur,1961,696418,131266,23.22667176,380548,315870,830.04,23.22667176
Sangrur,1971,836497,140079,20.11421302,454936,381561,838.71,20.11421302
Sangrur,1981,1026166,189669,22.67419967,552304,473862,857.97,22.67419967
Sangrur,1991,1244677,218511,21.29392321,665630,579047,869.92,21.29392321
Sangrur,2001,1473242,228565,18.3633987,787795,685447,870.08,18.3633987
Sangrur,2011,1655169,181927,12.34875194,878029,777140,885.10,12.34875194
Barnala,1961,242368,54179,28.78967421,131955,110413,836.75,28.78967421
Barnala,1971,292463,50095,20.6689827,158673,133790,843.18,20.6689827
Barnala,1981,362663,70200,24.00303628,194351,168312,866.02,24.00303628
Barnala,1991,440772,78109,21.53762584,235640,205132,870.53,21.53762584
Barnala,2001,526931,86159,19.54729429,281494,245437,871.91,19.54729429
Barnala,2011,595527,68596,13.01802323,317522,278005,875.55,13.01802323
